type_of_graph,number_of_nodes,number_of_edges,time_Dijkstra_SP,nodesVisited_Dijkstra,time_A*,nodesVisited_A*
grid,60000,118940,0.01,5,0.005,3
random,60000,120000,22.257,17717,17.055,14223
grid,80000,158920,0.03,26,0.03,21
random,10000,20000,5.584,7977,4.96,7977
grid,30000,58970,0.007,4,0.005,2
random,20000,40000,12.422,15899,10.873,15899
grid,60000,118940,0.01,5,0.004,3
random,60000,120000,21.211,17518,14.313,14033
grid,80000,158920,0.03,26,0.018,19
random,10000,20000,0.018,1,0.007,1
grid,30000,58970,0.009,5,0.005,2
random,20000,40000,5.579,6929,3.405,4328
grid,60000,118940,0.028,25,0.011,7
random,60000,120000,44.316,40484,6.556,6444
grid,80000,158920,0.022,15,0.014,13
random,10000,20000,0.008,1,0.007,1
grid,30000,58970,0.01,6,0.005,2
random,20000,40000,6.238,6849,3.259,4253
grid,60000,118940,0.023,23,0.008,7
random,60000,120000,44.839,40497,5.499,6411
grid,80000,158920,0.018,14,0.025,7
random,10000,20000,5.497,8072,5.727,8072
grid,30000,58970,0.012,8,0.006,3
random,20000,40000,7.495,9594,1.8,2417
grid,60000,118940,0.034,45,0.01,6
random,60000,120000,48.556,47817,47.494,47817
grid,80000,158920,0.032,31,0.018,18
random,10000,20000,5.66,8072,5.903,8072
grid,30000,58970,0.011,7,0.005,3
random,20000,40000,7.849,9612,1.561,2412
grid,60000,118940,0.057,46,0.005,3
random,60000,120000,50.216,47817,44.569,47817
grid,80000,158920,0.039,44,0.028,34
random,10000,20000,1.822,2585,0.444,679
grid,30000,58970,0.007,5,0.004,2
random,20000,40000,10.296,13474,4.723,5968
grid,60000,118940,0.018,12,0.008,5
random,60000,120000,47.042,47757,43.389,47757
grid,80000,158920,0.03,25,0.008,6
random,10000,20000,1.918,2660,0.413,681
grid,30000,58970,0.009,5,0.006,3
random,20000,40000,10.094,13489,4.153,5963
grid,60000,118940,0.015,11,0.007,5
random,60000,120000,50.388,47757,42.162,47757
grid,80000,158920,0.028,24,0.005,3
random,10000,20000,5.689,8037,5.405,8037
grid,30000,58970,0.007,3,0.005,2
random,20000,40000,11.673,15552,6.541,9806
grid,60000,118940,0.036,48,0.017,16
random,60000,120000,0.056,1,0.065,1
grid,80000,158920,0.045,61,0.026,30
random,10000,20000,5.606,8037,4.966,8037
grid,30000,58970,0.007,3,0.004,2
random,20000,40000,15.68,15552,6.055,9738
grid,60000,118940,0.037,51,0.021,21
random,60000,120000,0.059,1,0.054,1
grid,80000,158920,0.044,48,0.017,17
random,10000,20000,3.289,4737,0.936,1617
grid,30000,58970,0.019,25,0.008,8
random,20000,40000,8.603,11433,2.264,3470
grid,60000,118940,0.033,50,0.005,3
random,60000,120000,28.858,26340,12.793,12499
grid,80000,158920,0.049,79,0.033,56
random,10000,20000,3.601,4735,0.948,1617
grid,30000,58970,0.018,25,0.008,8
random,20000,40000,9.592,11300,1.979,3293
grid,60000,118940,0.048,52,0.009,5
random,60000,120000,28.98,26295,12.508,12487
grid,80000,158920,0.029,28,0.012,10
random,10000,20000,308.813,7954,258.503,7954
grid,30000,58970,1.481,1,0.03,1
random,20000,40000,196.499,4780,146.936,3524
grid,60000,118940,1.509,40,1.403,34
random,60000,120000,2011.3,47972,2162.44,47972
grid,80000,158920,2.168,56,0.57,7
random,10000,20000,96.683,2079,44.634,820
grid,30000,58970,1.044,26,0.621,14
random,20000,40000,139.184,3022,49.662,939
grid,60000,118940,2.028,36,1.24,22
random,60000,120000,1913.33,37028,1660.22,28834
grid,80000,158920,1.858,35,1.131,12
random,10000,20000,1.34,1891,1.099,1591
grid,30000,58970,0.009,5,0.007,3
random,20000,40000,2.677,3385,0.82,1059
grid,60000,118940,0.033,40,0.027,32
random,60000,120000,0.038,1,0.052,1
grid,80000,158920,0.021,14,0.005,4
random,10000,20000,1.392,1879,1.11,1581
grid,30000,58970,0.008,4,0.006,3
random,20000,40000,3.069,3329,0.838,1057
grid,60000,118940,0.034,42,0.026,33
random,60000,120000,0.041,1,0.043,1
grid,80000,158920,0.02,16,0.005,5
random,10000,20000,0.08,76,0.028,37
grid,30000,58970,0.02,28,0.017,18
random,20000,40000,2.544,3349,1.834,2267
grid,60000,118940,0.035,46,0.023,25
random,60000,120000,0.043,4,0.066,4
grid,80000,158920,0.049,74,0.02,20
random,10000,20000,5.466,7923,4.475,7923
grid,30000,58970,0.021,28,0.015,19
random,20000,40000,2.579,3279,1.8,2185
grid,60000,118940,0.034,44,0.023,24
random,60000,120000,0.044,1,0.053,1
grid,80000,158920,0.049,74,0.026,32
random,10000,20000,0.619,850,0.373,519
grid,30000,58970,0.021,30,0.011,9
random,20000,40000,2.714,3575,0.325,507
grid,60000,118940,0.011,6,0.011,7
random,60000,120000,32.058,30423,17.758,15736
grid,80000,158920,0.01,4,0.005,3
random,10000,20000,0.58,846,0.372,515
grid,30000,58970,0.012,9,0.006,3
random,20000,40000,12.323,15883,12.401,15883
grid,60000,118940,0.008,4,0.004,2
random,60000,120000,10.868,8552,7.834,7902
grid,80000,158920,0.007,2,0.002,2
random,10000,20000,1.06,1605,0.702,928
grid,30000,58970,0.011,10,0.015,3
random,20000,40000,4.47,5423,2.852,3920
grid,60000,118940,0.013,9,0.007,4
random,60000,120000,41.269,36432,27.597,28692
grid,80000,158920,0.042,53,0.028,21
random,10000,20000,5.841,8020,4.979,8020
grid,30000,58970,0.012,9,0.008,4
random,20000,40000,0.021,3,0.014,3
grid,60000,118940,0.037,55,0.025,16
random,60000,120000,40.049,38034,24.041,26481
grid,80000,158920,0.045,57,0.019,21
random,10000,20000,5.102,8033,4.727,8033
grid,30000,58970,0.012,9,0.01,8
random,20000,40000,8.939,11444,4.998,6619
grid,60000,118940,0.037,58,0.009,5
random,60000,120000,47.192,47786,44.098,47786
grid,80000,158920,0.049,77,0.034,49
random,10000,20000,1.692,2552,0.08,174
grid,30000,58970,0.015,16,0.006,4
random,20000,40000,3.846,4902,0.554,810
grid,60000,118940,0.034,40,0.013,10
random,60000,120000,19.282,14763,5.9,5169
grid,80000,158920,0.055,76,0.036,45
random,10000,20000,0.023,1,0.008,1
grid,30000,58970,0.018,18,0.011,10
random,20000,40000,11.825,15824,11.737,15824
grid,60000,118940,0.037,53,0.026,33
random,60000,120000,0.038,4,0.051,4
grid,80000,158920,0.015,8,0.009,7
random,10000,20000,0.007,1,0.007,1
grid,30000,58970,0.016,18,0.01,11
random,20000,40000,0.64,855,0.342,440
grid,60000,118940,0.037,53,0.025,30
random,60000,120000,0.058,4,0.053,4
grid,80000,158920,0.016,8,0.009,7
random,10000,20000,1.354,1752,1.224,1773
grid,30000,58970,0.02,27,0.017,23
random,20000,40000,0.713,959,0.198,258
grid,60000,118940,0.034,38,0.018,14
random,60000,120000,50.676,47537,45.353,47537
grid,80000,158920,0.045,60,0.009,6
random,10000,20000,0.009,4,0.008,4
grid,30000,58970,0.015,14,0.008,5
random,20000,40000,4.981,6447,3.757,4804
grid,60000,118940,0.031,40,0.016,14
random,60000,120000,55.57,47537,40.453,47537
grid,80000,158920,0.047,61,0.008,6
random,10000,20000,5.431,7962,5.372,7962
grid,30000,58970,0.015,11,0.007,3
random,20000,40000,1.612,2114,0.886,1181
grid,60000,118940,0.015,10,0.007,4
random,60000,120000,12.982,11494,0.926,900
grid,80000,158920,0.041,49,0.024,12
random,10000,20000,2.392,3100,0.759,1167
grid,30000,58970,0.006,3,0.004,2
random,20000,40000,14.217,16047,10.917,16047
grid,60000,118940,0.038,55,0.026,30
random,60000,120000,0.058,1,0.053,1
grid,80000,158920,0.037,41,0.011,9
random,10000,20000,3.768,5761,1.152,1688
grid,30000,58970,0.015,15,0.007,5
random,20000,40000,12.133,10609,3.888,4683
grid,60000,118940,0.021,16,0.012,8
random,60000,120000,54.33,46645,32.751,40342
grid,80000,158920,0.028,29,0.016,19
random,10000,20000,4.383,5760,0.985,1691
grid,30000,58970,0.014,14,0.007,5
random,20000,40000,8.135,10713,2.966,4720
grid,60000,118940,0.019,17,0.013,10
random,60000,120000,59.83,46596,35.996,40254
grid,80000,158920,0.044,58,0.005,4
random,10000,20000,4.77,6776,3.809,4864
grid,30000,58970,0.012,8,0.007,5
random,20000,40000,5.023,5414,2.153,2363
grid,60000,118940,0.032,37,0.017,13
random,60000,120000,31.334,28140,24.662,21809
grid,80000,158920,0.048,68,0.013,12
random,10000,20000,4.93,6806,3.73,4930
grid,30000,58970,0.014,12,0.009,5
random,20000,40000,4.327,5351,1.783,2309
grid,60000,118940,0.033,38,0.017,14
random,60000,120000,32.209,28553,25.694,22070
grid,80000,158920,0.056,71,0.018,18
random,10000,20000,4.083,5584,3.887,5400
grid,30000,58970,0.002,1,0.001,1
random,20000,40000,12.313,15875,10.825,15875
grid,60000,118940,0.027,30,0.01,6
random,60000,120000,0.056,1,0.061,1
grid,80000,158920,0.046,58,0.014,13
random,10000,20000,0.291,406,0.112,178
grid,30000,58970,0.016,16,0.007,6
random,20000,40000,3.82,5073,0.54,868
grid,60000,118940,0.03,41,0.011,8
random,60000,120000,52.152,47852,42.868,47852
grid,80000,158920,0.045,61,0.014,13
random,10000,20000,3.917,5803,0.896,1538
grid,30000,58970,0.029,28,0.011,14
random,20000,40000,3.915,5174,0.358,629
grid,60000,118940,0.027,37,0.022,27
random,60000,120000,24.571,20738,11.578,12003
grid,80000,158920,0.022,18,0.012,11
random,10000,20000,4.206,5824,0.857,1553
grid,30000,58970,0.019,28,0.012,11
random,20000,40000,12.575,15543,0.722,1363
grid,60000,118940,0.043,60,0.011,7
random,60000,120000,45.936,39415,22.521,24005
grid,80000,158920,0.019,14,0.013,11
random,10000,20000,0.132,202,0.042,62
grid,30000,58970,0.016,18,0.012,14
random,20000,40000,11.199,16040,10.49,16040
grid,60000,118940,0.012,7,0.009,5
random,60000,120000,0.057,1,0.056,1
grid,80000,158920,0.045,60,0.018,16
random,10000,20000,0.15,207,0.045,63
grid,30000,58970,0.016,16,0.014,14
random,20000,40000,12.897,16040,10.984,16040
grid,60000,118940,0.012,7,0.009,5
random,60000,120000,0.043,1,0.05,1
grid,80000,158920,0.02,14,0.01,8
random,10000,20000,0.101,125,0.021,22
grid,30000,58970,0.015,15,0.007,5
random,20000,40000,0.013,2,0.013,2
grid,60000,118940,0.023,19,0.008,5
random,60000,120000,21.728,20505,7.512,9120
grid,80000,158920,0.03,31,0.01,9
random,10000,20000,0.077,126,0.018,22
grid,30000,58970,0.025,16,0.007,5
random,20000,40000,0.013,2,0.011,2
grid,60000,118940,0.03,23,0.008,8
random,60000,120000,24.603,20722,8.032,9049
grid,80000,158920,0.049,52,0.027,31
random,10000,20000,5.006,7974,4.962,7974
grid,30000,58970,0.001,1,0.002,1
random,20000,40000,2.038,2132,0.075,102
grid,60000,118940,0.036,49,0.027,31
random,60000,120000,45.284,45483,19.432,22390
grid,80000,158920,0.04,59,0.017,16
random,10000,20000,5.854,7964,4.931,7964
grid,30000,58970,0.013,8,0.01,8
random,20000,40000,0.014,1,0.028,1
grid,60000,118940,0.036,49,0.026,31
random,60000,120000,46.518,45438,18.257,22290
grid,80000,158920,0.038,57,0.034,17
random,10000,20000,4.318,5980,3.314,4918
grid,30000,58970,0.012,8,0.01,6
random,20000,40000,0.013,1,0.014,1
grid,60000,118940,0.024,24,0.014,10
random,60000,120000,34.309,28593,6.954,7790
grid,80000,158920,0.027,23,0.006,6
random,10000,20000,4.519,6012,3.322,4961
grid,30000,58970,0.012,8,0.009,5
random,20000,40000,0.013,1,0.013,1
grid,60000,118940,0.02,15,0.008,5
random,60000,120000,20.11,14525,3.177,3070
grid,80000,158920,0.035,35,0.025,27
random,10000,20000,6.179,8025,5.241,8025
grid,30000,58970,0.019,19,0.011,10
random,20000,40000,3.277,2991,1.856,1847
grid,60000,118940,0.046,40,0.016,10
random,60000,120000,0.049,1,0.062,1
grid,80000,158920,0.053,54,0.025,29
random,10000,20000,5.459,8025,4.71,8025
grid,30000,58970,0.019,19,0.009,10
random,20000,40000,2.423,2974,1.491,1820
grid,60000,118940,0.033,39,0.015,10
random,60000,120000,0.045,1,0.055,1
grid,80000,158920,0.023,21,0.01,8
random,10000,20000,188.954,3965,109.769,2812
grid,30000,58970,1.953,12,0.329,6
random,20000,40000,263.668,6460,61.273,1499
grid,60000,118940,1.657,41,1.035,21
random,60000,120000,1003.67,22014,943.392,18425
grid,80000,158920,1.226,20,0.865,13
random,10000,20000,173.53,3304,94.191,2285
grid,30000,58970,0.829,19,0.489,8
random,20000,40000,3.852,1,8.877,1
grid,60000,118940,1.828,46,1.275,24
random,60000,120000,2172.31,41670,2143.51,41068
grid,80000,158920,2.716,73,0.499,5
random,10000,20000,0.017,1,0.007,1
grid,30000,58970,0.001,1,0.001,1
random,20000,40000,0.013,1,0.012,1
grid,60000,118940,0.031,46,0.009,8
random,60000,120000,47.769,47845,42.079,47845
grid,80000,158920,0.021,19,0.008,6
random,10000,20000,0.007,1,0.006,1
grid,30000,58970,0.002,1,0.001,1
random,20000,40000,0.013,1,0.011,1
grid,60000,118940,0.036,54,0.008,6
random,60000,120000,11.764,11083,10.018,9983
grid,80000,158920,0.02,15,0.008,6
random,10000,20000,3.088,4597,1.06,2148
grid,30000,58970,0.018,28,0.005,3
random,20000,40000,9.856,14008,5.286,6802
grid,60000,118940,0.028,32,0.008,5
random,10000,20000,0.14,207,0.047,89
grid,30000,58970,0.016,22,0.009,9
random,20000,40000,11.355,11174,5.953,7410
grid,60000,118940,0.025,27,0.007,5
random,60000,120000,44.95,41080,15.242,18324
grid,80000,158920,0.04,56,0.012,12
random,10000,20000,0.127,203,0.048,87
grid,30000,58970,0.017,23,0.009,9
random,20000,40000,9.529,11117,5.209,7341
grid,60000,118940,0.144,24,0.008,6
random,60000,120000,52.561,47719,49.139,47719
grid,80000,158920,0.048,70,0.011,10
random,10000,20000,3.529,4964,1.293,1975
grid,30000,58970,0.011,10,0.006,5
random,20000,40000,0.014,1,0.013,1
grid,60000,118940,0.03,33,0.018,15
random,60000,120000,0.047,3,0.059,3
grid,80000,158920,0.057,72,0.011,11
random,10000,20000,4.482,6197,2.018,3210
grid,30000,58970,0.021,26,0.013,11
random,20000,40000,10.814,13559,4.208,6295
grid,60000,118940,0.036,49,0.019,19
random,60000,120000,51.71,47688,45.891,47688
grid,80000,158920,0.046,70,0.011,11
random,10000,20000,5.222,7935,4.5,7935
grid,30000,58970,0.018,27,0.007,7
random,20000,40000,0.013,2,0.013,2
grid,60000,118940,0.036,50,0.026,30
random,60000,120000,0.045,1,0.048,1
grid,80000,158920,0.045,80,0.034,54
random,10000,20000,0.008,3,0.007,3
grid,30000,58970,0.017,20,0.008,4
random,20000,40000,3.896,4850,0.962,1362
grid,60000,118940,0.034,39,0.037,31
random,60000,120000,0.042,1,0.054,1
grid,80000,158920,0.045,80,0.039,66
random,10000,20000,0.025,1,0.007,1
grid,30000,58970,0.01,7,0.008,4
random,20000,40000,0.013,1,0.02,1
grid,60000,118940,0.025,23,0.01,5
random,60000,120000,0.043,4,0.056,4
grid,80000,158920,0.034,36,0.015,14
random,10000,20000,0.007,1,0.007,1
grid,30000,58970,0.012,9,0.006,4
random,20000,40000,0.013,1,0.013,1
grid,60000,118940,0.026,26,0.009,5
random,60000,120000,5.269,3943,2.137,2183
grid,80000,158920,0.055,44,0.023,25
random,10000,20000,5.223,7594,2.115,3578
grid,30000,58970,0.008,4,0.008,4
random,20000,40000,3.818,3917,0.669,912
grid,60000,118940,0.041,54,0.025,24
random,60000,120000,3.86,3658,0.476,506
grid,80000,158920,0.048,68,0.035,49
random,10000,20000,5.194,7613,1.716,3616
grid,30000,58970,0.007,4,0.007,4
random,20000,40000,3.191,3899,0.507,910
grid,60000,118940,0.034,55,0.023,26
random,60000,120000,4.367,3695,0.436,508
grid,80000,158920,0.018,13,0.006,5
random,10000,20000,5.452,8010,5.654,8010
grid,30000,58970,0.021,30,0.013,11
random,20000,40000,11.14,14922,4.978,7272
grid,60000,118940,0.029,21,0.016,13
random,60000,120000,9.999,8642,3.623,3503
grid,80000,158920,0.048,73,0.037,48
random,10000,20000,1.531,2004,0.245,391
grid,30000,58970,0.01,7,0.007,4
random,20000,40000,7.589,8944,1.631,2328
grid,60000,118940,0.024,21,0.017,13
random,60000,120000,9.281,8571,3.141,3421
grid,80000,158920,0.047,72,0.034,55
random,10000,20000,3.715,4731,2.863,3510
grid,30000,58970,0.002,1,0.002,1
random,20000,40000,0.017,1,0.019,1
grid,60000,118940,0.027,22,0.014,8
random,60000,120000,16.86,13644,13.614,12808
grid,80000,158920,0.05,78,0.005,4
random,10000,20000,2.719,3652,1.037,1750
grid,30000,58970,0.013,9,0.007,3
random,20000,40000,8.14,9523,7.892,9524
grid,60000,118940,0.037,49,0.017,15
random,60000,120000,31.05,25374,12.186,13404
grid,80000,158920,0.052,79,0.005,4
random,10000,20000,5.337,7952,4.347,7952
grid,30000,58970,0.014,14,0.009,7
random,20000,40000,11.77,16041,9.714,16041
grid,60000,118940,0.031,32,0.018,20
random,60000,120000,0.048,3,0.063,3
grid,80000,158920,0.039,58,0.026,37
random,10000,20000,5.29,7952,3.906,7952
grid,30000,58970,0.015,15,0.009,6
random,20000,40000,12.34,16041,8.259,16041
grid,60000,118940,0.032,46,0.024,27
random,60000,120000,30.964,27479,20.33,19938
grid,80000,158920,0.025,20,0.009,7
random,10000,20000,5.427,7962,4.437,7962
grid,30000,58970,0.006,3,0.003,2
random,20000,40000,12.216,16063,9.071,16063
grid,60000,118940,0.033,49,0.02,22
random,60000,120000,10.743,9719,0.271,270
grid,80000,158920,0.018,14,0.007,6
random,10000,20000,5.459,7962,3.771,7962
grid,30000,58970,0.005,2,0.003,2
random,20000,40000,7.695,10172,3.493,5335
grid,60000,118940,0.036,48,0.041,17
random,60000,120000,11.225,9859,0.238,272
grid,80000,158920,0.045,60,0.039,44
random,10000,20000,0.018,1,0.008,1
grid,30000,58970,0.019,17,0.011,8
random,20000,40000,0.013,1,0.02,1
grid,60000,118940,0.021,17,0.007,4
random,60000,120000,16.2,13639,13.696,13639
grid,80000,158920,0.031,31,0.009,8
random,10000,20000,2.444,3244,0.948,1748
grid,30000,58970,0.013,13,0.009,7
random,20000,40000,2.055,2582,0.658,1044
grid,60000,118940,0.01,6,0.005,3
random,60000,120000,2.859,2690,1.034,1209
grid,80000,158920,0.03,28,0.009,8
random,10000,20000,3.112,4453,1.578,2509
grid,30000,58970,0.019,25,0.007,6
random,20000,40000,10.413,14655,8.763,12498
grid,60000,118940,0.027,27,0.017,14
random,60000,120000,20.423,18499,1.562,2320
grid,80000,158920,0.021,14,0.008,6
random,10000,20000,0.773,1096,0.372,711
grid,30000,58970,0.02,25,0.011,6
random,20000,40000,12.219,14686,8.433,12498
grid,60000,118940,0.03,36,0.016,12
random,60000,120000,42.156,41275,13.682,17214
grid,80000,158920,0.028,30,0.005,4
random,10000,20000,5.013,7282,1.127,1970
grid,30000,58970,0.002,1,0.001,1
random,20000,40000,4.799,6050,2.877,4281
grid,60000,118940,0.033,39,0.022,23
random,60000,120000,39.309,36523,12.754,13705
grid,80000,158920,0.006,2,0.003,2
random,10000,20000,4.317,6006,2.625,4420
grid,30000,58970,0.019,25,0.007,3
random,10000,20000,4.773,7457,1.51,2348
grid,30000,58970,0.016,19,0.008,6
random,20000,40000,8.032,10250,4.561,6517
grid,60000,118940,0.023,26,0.011,8
random,60000,120000,1.883,1640,0.114,63
grid,80000,158920,0.026,24,0.009,7
random,10000,20000,3.307,4516,1.78,2602
grid,30000,58970,0.022,22,0.008,5
random,20000,40000,13.816,15151,11.221,13796
grid,60000,118940,0.032,34,0.02,18
random,60000,120000,42.804,26059,0.944,1121
grid,80000,158920,0.03,26,0.009,7
random,10000,20000,4.345,6713,1.816,2754
grid,30000,58970,0.009,5,0.006,4
random,20000,40000,1.236,1718,1.07,1501
grid,60000,118940,0.031,39,0.024,13
random,60000,120000,22.279,21194,2.642,2881
grid,80000,158920,0.041,57,0.016,14
random,10000,20000,4.653,6705,1.73,2720
grid,30000,58970,0.008,5,0.007,5
random,20000,40000,1.428,1737,1.116,1520
grid,60000,118940,0.035,38,0.015,10
random,60000,120000,22.854,21613,2.082,2942
grid,80000,158920,0.067,78,0.012,12
random,10000,20000,0.018,2,0.007,2
grid,30000,58970,0.017,20,0.007,4
random,20000,40000,0.013,1,0.013,1
grid,60000,118940,0.017,12,0.01,7
random,60000,120000,39.065,37550,20.196,17600
grid,80000,158920,0.044,59,0.02,23
random,10000,20000,2.063,2782,0.096,177
grid,30000,58970,0.009,5,0.007,3
random,20000,40000,10.006,12483,5.164,6726
grid,60000,118940,0.017,12,0.011,7
random,60000,120000,52.798,37890,19.84,18155
grid,80000,158920,0.049,57,0.021,22
random,10000,20000,1.857,2821,0.036,63
grid,30000,58970,0.002,1,0.002,1
random,20000,40000,7.349,9953,2.114,3354
grid,60000,118940,0.008,4,0.007,4
random,60000,120000,50.867,47851,43.581,47851
grid,80000,158920,0.047,45,0.012,12
random,10000,20000,3.413,4680,0.892,1549
grid,30000,58970,0.017,17,0.017,19
random,20000,40000,1.304,1500,0.267,345
grid,60000,118940,0.028,27,0.015,10
random,60000,120000,11.234,9839,6.996,7469
grid,80000,158920,0.058,71,0.013,11
random,10000,20000,0.375,539,0.147,228
grid,30000,58970,0.015,13,0.005,3
random,20000,40000,0.013,1,0.013,1
grid,60000,118940,0.035,45,0.025,28
random,60000,120000,51.177,47794,50.927,47794
grid,80000,158920,0.018,12,0.01,9
random,10000,20000,0.359,550,0.161,236
grid,30000,58970,0.015,13,0.01,10
random,20000,40000,0.014,1,0.013,1
grid,60000,118940,0.034,42,0.025,28
random,60000,120000,56.418,47794,59.273,47794
grid,80000,158920,0.016,9,0.01,9
random,10000,20000,1.867,2600,0.409,710
grid,30000,58970,0.016,18,0.005,2
random,20000,40000,8.287,10531,4.457,5383
grid,60000,118940,0.033,36,0.018,13
random,60000,120000,53.625,48042,45.696,48042
grid,80000,158920,0.049,58,0.029,32
random,10000,20000,0.008,1,0.006,1
grid,30000,58970,0.015,13,0.008,5
random,20000,40000,12.866,15891,10.208,15891
grid,60000,118940,0.03,33,0.016,13
random,60000,120000,53.88,48042,41.44,48042
grid,80000,158920,0.044,56,0.027,31
random,10000,20000,5.234,6899,3.265,4587
grid,30000,58970,0.014,11,0.01,7
random,20000,40000,9.155,9883,2.394,3469
grid,60000,118940,0.027,28,0.013,11
random,60000,120000,58.546,47889,55.731,47889
grid,80000,158920,0.03,26,0.007,5
random,10000,20000,5.048,6921,2.947,4629
grid,30000,58970,0.013,9,0.009,6
random,20000,40000,9.932,9903,2.306,3496
grid,60000,118940,0.03,29,0.015,10
random,60000,120000,57.116,47889,53.887,47889
grid,80000,158920,0.015,9,0.007,5
random,10000,20000,4.768,6333,2.794,3649
grid,30000,58970,0.021,30,0.005,2
random,20000,40000,0.014,1,0.015,1
grid,60000,118940,0.013,6,0.016,10
random,60000,120000,41.671,35086,26.957,27652
grid,80000,158920,0.027,23,0.013,13
random,10000,20000,0.735,996,0.036,38
grid,30000,58970,0.013,11,0.008,5
random,20000,40000,12.561,14245,10.198,12650
grid,60000,118940,0.032,35,0.016,12
random,60000,120000,40.322,28178,16.296,13810
grid,80000,158920,0.031,27,0.012,12
random,10000,20000,0.019,3,0.008,3
grid,30000,58970,0.01,6,0.008,4
random,20000,40000,2.881,3114,1.716,2211
grid,60000,118940,0.034,47,0.019,15
random,60000,120000,47.337,47835,42.772,47835
grid,80000,158920,0.039,54,0.01,10
random,10000,20000,0.008,3,0.006,3
grid,30000,58970,0.009,6,0.007,4
random,20000,40000,12.639,15784,9.827,15784
grid,60000,118940,0.038,50,0.018,15
random,60000,120000,54.037,47835,41.82,47835
grid,80000,158920,0.042,54,0.012,11
random,10000,20000,5.462,7999,5.204,7999
grid,30000,58970,0.002,1,0.001,1
random,20000,40000,0.013,1,0.013,1
grid,60000,118940,0.038,51,0.025,28
random,60000,120000,0.04,1,0.056,1
grid,80000,158920,0.05,77,0.036,48
random,10000,20000,5.561,7999,4.575,7999
grid,30000,58970,0.001,1,0.002,1
random,20000,40000,0.012,1,0.013,1
grid,60000,118940,0.039,48,0.026,27
random,60000,120000,0.05,4,0.063,4
grid,80000,158920,0.051,75,0.035,47
random,10000,20000,3.328,4506,0.944,1590
grid,30000,58970,0.105,29,0.012,14
random,20000,40000,0.015,1,0.014,1
grid,60000,118940,0.033,38,0.017,14
random,60000,120000,49.448,46031,12.954,14375
grid,80000,158920,0.029,30,0.015,14
random,10000,20000,3.535,4856,2.061,3169
grid,30000,58970,0.02,27,0.014,15
random,20000,40000,6.076,6647,1.054,1592
grid,60000,118940,0.029,30,0.017,14
random,60000,120000,59.096,46119,12.517,14779
grid,80000,158920,0.052,77,0.031,37
random,10000,20000,5.721,7960,4.616,7960
grid,30000,58970,0.021,27,0.015,15
random,20000,40000,12.197,15946,10.762,15946
grid,60000,118940,0.026,26,0.02,17
random,60000,120000,0.047,1,0.07,1
grid,80000,158920,0.042,57,0.013,11
random,10000,20000,5.563,7960,3.946,7960
grid,30000,58970,0.021,25,0.013,12
random,20000,40000,13.938,15946,10.203,15946
grid,60000,118940,0.028,28,0.02,20
random,60000,120000,0.047,1,0.071,1
grid,80000,158920,0.032,36,0.012,12
random,10000,20000,1.13,1632,0.43,834
grid,30000,58970,0.021,29,0.008,4
random,20000,40000,11.656,15830,10.269,15830
grid,60000,118940,0.035,38,0.006,3
random,60000,120000,44.511,38810,6.661,7101
grid,80000,158920,0.043,57,0.028,35
random,10000,20000,1.875,2648,1.112,1694
grid,30000,58970,0.008,4,0.008,5
random,20000,40000,6.978,8585,1.666,2731
grid,60000,118940,0.039,52,0.031,40
random,60000,120000,5.291,4860,1.31,1488
grid,80000,158920,0.042,55,0.03,40
random,10000,20000,0.016,1,0.006,1
grid,30000,58970,0.018,23,0.011,9
random,20000,40000,11.566,15894,11.386,15894
grid,60000,118940,0.012,8,0.008,5
random,60000,120000,0.042,1,0.061,1
grid,80000,158920,0.042,70,0.025,18
random,10000,20000,1.979,2683,0.212,537
grid,30000,58970,0.008,3,0.007,3
random,20000,40000,0.016,7,0.018,7
grid,60000,118940,0.015,8,0.008,5
random,60000,120000,0.047,1,0.055,1
grid,80000,158920,0.046,70,0.017,20
random,10000,20000,0.017,2,0.008,2
grid,30000,58970,0.016,14,0.022,6
random,20000,40000,0.022,1,0.014,1
grid,60000,118940,0.004,2,0.004,2
random,60000,120000,7.265,5405,0.532,539
grid,80000,158920,0.003,1,0.001,1
random,10000,20000,0.009,1,0.016,1
grid,30000,58970,0.011,7,0.011,8
random,20000,40000,7.941,9806,0.728,1567
grid,60000,118940,0.01,5,0.002,2
random,60000,120000,0.044,1,0.067,1
grid,80000,158920,0.003,1,0.001,1
random,10000,20000,1.057,1521,0.504,869
grid,30000,58970,0.011,7,0.003,2
random,20000,40000,1.505,1877,0.171,283
grid,60000,118940,0.036,48,0.025,28
random,60000,120000,48.27,47665,39.071,47665
grid,80000,158920,0.045,57,0.021,25
random,10000,20000,2.234,3021,0.431,819
grid,30000,58970,0.02,30,0.011,8
random,20000,40000,12.604,15947,8.985,15947
grid,60000,118940,0.042,46,0.016,14
random,60000,120000,0.046,1,0.065,1
grid,80000,158920,0.044,57,0.021,26
random,10000,20000,277.545,6729,154.471,4613
grid,30000,58970,2.027,19,0.439,10
random,20000,40000,565.984,14481,116.922,2685
grid,60000,118940,0.52,6,0.352,4
random,60000,120000,678.75,14182,336.111,5086
grid,80000,158920,1.935,42,0.71,9
random,10000,20000,62.645,1475,24.343,713
grid,30000,58970,0.623,10,0.333,3
random,20000,40000,460.723,10004,299.943,8337
grid,60000,118940,1.062,18,0.512,7
random,10000,20000,4.375,6289,1.119,2081
grid,30000,58970,0.018,25,0.013,17
