type_of_graph,number_of_nodes,number_of_edges,time_Dijkstra_SP,nodesVisited_Dijkstra,time_A*,nodesVisited_A*
grid,60000,118940,0.022,23,0.005,4
random,60000,120000,0.041,1,0.063,1
grid,80000,158920,0.016,9,0.005,5
random,10000,20000,5.273,7943,4.16,7943
grid,30000,58970,0.013,14,0.01,13
random,20000,40000,1.76,2305,0.134,279
grid,60000,118940,0.018,15,0.01,6
random,60000,120000,8.057,7157,1.232,1531
grid,80000,158920,0.048,74,0.006,5
random,10000,20000,5.516,7981,3.864,7981
grid,30000,58970,0.018,22,0.005,4
random,20000,40000,0.693,844,0.196,297
grid,60000,118940,0.021,17,0.008,6
random,60000,120000,8.421,6980,1.135,1516
grid,80000,158920,0.052,75,0.025,28
random,10000,20000,4.167,6003,1.226,2448
grid,30000,58970,0.019,27,0.015,16
random,20000,40000,6.674,8756,2.511,4030
grid,60000,118940,0.011,6,0.014,5
random,60000,120000,0.043,1,0.092,1
grid,80000,158920,0.031,35,0.005,4
random,10000,20000,2.691,3689,2.405,4636
grid,30000,58970,0.012,8,0.004,3
random,20000,40000,0.014,1,0.014,1
grid,60000,118940,0.013,6,0.007,5
random,60000,120000,0.046,1,0.054,1
grid,80000,158920,0.03,37,0.005,5
random,10000,20000,4.42,6446,2.962,4666
grid,30000,58970,0.014,13,0.013,13
random,20000,40000,11.63,15857,11.38,15857
grid,60000,118940,0.036,60,0.027,39
random,60000,120000,48.687,47856,39.823,47856
grid,80000,158920,0.043,58,0.021,24
random,10000,20000,3.556,4868,0.475,896
grid,30000,58970,0.019,23,0.01,9
random,20000,40000,0.716,989,0.109,199
grid,60000,118940,0.037,60,0.03,39
random,60000,120000,49.568,47856,37.238,47856
grid,80000,158920,0.04,47,0.008,6
random,10000,20000,0.016,1,0.006,1
grid,30000,58970,0.02,26,0.007,7
random,10000,20000,0.022,1,0.008,1
grid,30000,58970,0.016,13,0.006,4
random,20000,40000,0.013,1,0.016,1
grid,60000,118940,0.019,13,0.011,9
random,60000,120000,43.78,39842,3.597,5441
grid,80000,158920,0.046,64,0.013,13
random,10000,20000,2.095,2849,1.107,1812
grid,30000,58970,0.014,12,0.006,4
