type_of_graph,number_of_nodes,number_of_edges,time_Dijkstra_SP,nodesVisited_Dijkstra,time_A*,nodesVisited_A*
grid,60000,237880,47.285,59815,36.617,55187
random,60000,120000,19.261,14320,8.748,7731
grid,80000,317840,64.345,79991,3.509,4115
random,10000,20000,3.787,5760,0.953,1415
grid,30000,117940,15.606,29963,15.11,28635
random,20000,40000,2.469,3443,0.524,996
grid,60000,237880,42.413,59986,0.837,1359
random,60000,120000,40.762,42200,18.593,18504
grid,80000,317840,59.449,79998,1.381,1671
random,10000,20000,1.812,2673,0.686,1204
grid,30000,117940,15.902,29865,15.927,28419
random,20000,40000,0.012,3,0.016,3
grid,60000,237880,42.534,59983,24.906,38463
random,60000,120000,41.738,39532,41.402,39530
grid,80000,317840,62.552,79984,1.531,1967
random,10000,20000,1.985,2856,1.713,2492
grid,30000,117940,18.029,29905,12.219,21289
random,20000,40000,7.707,9967,7.178,9497
grid,60000,237880,48.036,59970,24.673,34785
random,60000,120000,51.496,47855,50.841,47855
grid,80000,317840,70.824,79998,3.072,3215
random,10000,20000,2.847,3828,1.626,2222
grid,30000,117940,22.023,29956,18.619,25571
random,20000,40000,4.454,4685,1.895,2120
grid,60000,237880,51.765,59853,25.881,33847
random,60000,120000,10.277,8030,2.12,2313
grid,80000,317840,62.612,79928,37.508,47713
random,10000,20000,0.318,480,0.104,206
grid,30000,117940,18.577,29938,12.38,24483
random,20000,40000,11.342,15033,9.07,11988
grid,60000,237880,44.329,59806,21.282,31300
random,60000,120000,0.04,1,0.06,1
grid,80000,317840,68.233,79856,34.914,45633
random,10000,20000,4.647,6560,1.353,2256
grid,30000,117940,16.2,29909,16.21,29396
random,20000,40000,12.296,16043,10.423,16043
grid,60000,237880,43.099,59955,15.574,19097
random,60000,120000,20.489,18813,0.493,599
grid,80000,317840,62.128,79890,43.987,58968
random,10000,20000,5.157,7973,4.666,7973
grid,30000,117940,15.555,29893,13.024,25123
random,20000,40000,4.841,6395,0.649,1023
grid,60000,237880,41.649,59536,31.072,46217
random,60000,120000,35.948,34886,14.178,12797
grid,80000,317840,61.322,79840,17.654,23182
random,10000,20000,0.007,1,0.007,1
grid,30000,117940,17.93,29991,9.906,17283
random,20000,40000,3.09,3901,2.707,3609
grid,60000,237880,41.544,59830,27.075,39053
random,60000,120000,15.447,12088,4.886,4701
grid,80000,317840,72.084,79871,43.171,52202
random,10000,20000,1.989,2853,0.604,1034
grid,30000,117940,16.242,29963,15.738,26381
random,20000,40000,3.826,4748,3.257,4229
grid,60000,237880,41.736,59794,26.559,41738
random,60000,120000,0.042,1,0.045,1
grid,80000,317840,64.963,79813,53.315,64742
random,10000,20000,0.008,1,0.007,1
grid,30000,117940,18.068,29905,15.29,26524
random,20000,40000,4.25,5425,0.7,992
grid,60000,237880,42.557,59837,28.935,43742
random,60000,120000,47.301,47951,47.464,47951
grid,80000,317840,60.637,79835,48.099,66295
random,10000,20000,0.013,1,0.006,1
grid,30000,117940,18.246,29959,12.215,24572
random,20000,40000,9.102,12870,4.194,6562
grid,60000,237880,42.148,59922,30.001,44324
random,60000,120000,0.039,1,0.052,1
grid,80000,317840,60.389,79922,45.556,62157
random,10000,20000,4.319,6091,2.024,3001
grid,30000,117940,16.169,29988,4.177,7487
random,20000,40000,11.905,16007,10.451,16007
grid,60000,237880,48.394,59995,1.675,2267
random,60000,120000,0.065,4,0.049,4
grid,80000,317840,67.943,79949,39.505,49966
random,10000,20000,5.812,7947,5.2,7947
grid,30000,117940,23.18,29777,17.839,25087
random,20000,40000,4.701,5110,1.204,1464
grid,60000,237880,52.969,59920,12.122,13918
random,60000,120000,29.624,22508,5.391,6077
